#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-01-02T16:20:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5687f89e0b00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/200/12/table6
#-nav=cat:J/ApJS/200/12&tab:{J/ApJS/200/12/table6}&key:source=J/ApJS/200/12/table6&HTTPPRM:&&-ref=VIZ5687f89e0b00&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=Filt&-out=MJD&-out=N&-out=sigPip&-out=sigPhot&-out=mag&-out=e_mag&-out=Per&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/200/12/table6
#-source=J/ApJS/200/12/table6
#-order=I
#-out=SN
#-out=Filt
#-out=MJD
#-out=N
#-out=sigPip
#-out=sigPhot
#-out=mag
#-out=e_mag
#-out=Per
#

#RESOURCE=yCat_22000012
#Name: J/ApJS/200/12
#Title: CfA4: light curves for 94 type Ia SNe (Hicken+, 2012)
#Table	J_ApJS_200_12_table6:
#Name: J/ApJS/200/12/table6
#Title: Standard system SN photometry
#Column	SN	(a14)	Supernova identifier	[ucd=meta.id;meta.main]
#Column	Filt	(A2)	Filter used in the observation (BUVi'r'u')	[ucd=instr.setup;obs]
#Column	MJD	(F11.5)	Modified Julian Date of observation	[ucd=time.epoch]
#Column	N	(I2)	Number of successful subtractions (1)	[ucd=meta.number]
#Column	sigPip	(F7.4)	Median pipeline-generated uncertainty (2)	[ucd=stat.error;phot.mag]
#Column	sigPhot	(F7.4)	Standard deviation of surviving photometry for that date	[ucd=stat.stdev;phot.mag]
#Column	mag	(F7.4)	Observed magnitude in Filter	[ucd=phot.mag]
#Column	e_mag	(F7.4)	Total uncertainty in mag (3)	[ucd=stat.error;phot.mag]
#Column	Per	(A3)	[one/two] Period the photometry belongs to (only for table 5) (4)	[ucd=meta.code]
SN|Filt|MJD|N|sigPip|sigPhot|mag|e_mag|Per
2009ig        |V |55119.36965|10| 0.0150| 0.0052|15.2298| 0.0159|
2009ig        |V |55122.39667| 4| 0.0145| 0.0029|15.3570| 0.0148|
2009ig        |V |55123.35062| 5| 0.0150| 0.0013|15.3921| 0.0151|
2009ig        |V |55127.29840|10| 0.0160| 0.0051|15.5248| 0.0168|
2009ig        |V |55150.27971| 5| 0.0160| 0.0079|16.1659| 0.0178|
2009ig        |V |55151.32286| 2| 0.0345| 0.0049|16.2568| 0.0349|
2009ig        |V |55153.27015| 4| 0.0170| 0.0070|16.2725| 0.0184|
2009ig        |V |55158.29881| 2| 0.0170| 0.0127|16.4059| 0.0212|
2009ig        |V |55160.22917| 5| 0.0210| 0.0094|16.4347| 0.0230|
2009ig        |V |55176.25667| 3| 0.0180| 0.0110|16.8067| 0.0211|
2009ig        |V |55208.15821| 5| 0.0250| 0.0178|17.5429| 0.0307|
2009ig        |V |55242.10510| 4| 0.0465| 0.0277|18.1793| 0.0541|
2009ig        |r'|55079.48411| 3| 0.0180| 0.0006|13.5392| 0.0180|
2009ig        |r'|55085.49150| 3| 0.0150| 0.0056|13.6066| 0.0160|
2009ig        |r'|55086.46069| 4| 0.0155| 0.0074|13.6501| 0.0172|
2009ig        |r'|55087.43753| 3| 0.0150| 0.0055|13.6947| 0.0160|
2009ig        |r'|55089.46833| 3| 0.0150| 0.0020|13.8190| 0.0151|
2009ig        |r'|55092.43037| 5| 0.0150| 0.0059|14.0313| 0.0161|
2009ig        |r'|55094.34733| 4| 0.0155| 0.0048|14.1545| 0.0162|
2009ig        |r'|55098.32391| 5| 0.0140| 0.0091|14.2836| 0.0167|
2009ig        |r'|55101.29958| 5| 0.0150| 0.0070|14.3076| 0.0166|
2009ig        |r'|55102.27109| 4| 0.0160| 0.0076|14.3176| 0.0177|
2009ig        |r'|55103.35335| 7| 0.0170| 0.0016|14.3150| 0.0171|
2009ig        |r'|55104.38044| 5| 0.0150| 0.0064|14.3101| 0.0163|
2009ig        |r'|55106.26717| 8| 0.0155| 0.0087|14.3377| 0.0178|
2009ig        |r'|55115.47942|10| 0.0140| 0.0076|14.7601| 0.0159|
2009ig        |r'|55119.36596| 9| 0.0150| 0.0071|14.9936| 0.0166|
2009ig        |r'|55122.39434| 5| 0.0150| 0.0089|15.1422| 0.0174|
2009ig        |r'|55123.34900| 5| 0.0150| 0.0051|15.1924| 0.0159|
2009ig        |r'|55125.40157| 4| 0.0375| 0.0026|15.3412| 0.0376|
2009ig        |r'|55127.29189| 9| 0.0160| 0.0039|15.3490| 0.0165|
2009ig        |r'|55150.27670| 4| 0.0150| 0.0070|16.1021| 0.0166|
2009ig        |r'|55151.31985| 5| 0.0310| 0.0058|16.1891| 0.0315|
2009ig        |r'|55153.26714| 4| 0.0160| 0.0068|16.1936| 0.0174|
2009ig        |r'|55158.29580| 4| 0.0160| 0.0123|16.3572| 0.0202|
2009ig        |r'|55160.22616| 5| 0.0210| 0.0089|16.4337| 0.0228|
2009ig        |r'|55176.25366| 5| 0.0180| 0.0132|16.9022| 0.0223|
2009ig        |r'|55208.15521| 5| 0.0240| 0.0255|17.7855| 0.0350|
2009ig        |r'|55242.10210| 5| 0.0560| 0.0715|18.7453| 0.0908|
2009ig        |i'|55078.49172| 3| 0.0160| 0.0017|14.1445| 0.0161|
2009ig        |i'|55079.48427|10| 0.0160| 0.0114|14.1742| 0.0196|
2009ig        |i'|55085.49022| 5| 0.0160| 0.0139|14.3569| 0.0212|
2009ig        |i'|55086.45941| 5| 0.0170| 0.0166|14.4014| 0.0238|
2009ig        |i'|55087.43187|10| 0.0170| 0.0125|14.4529| 0.0211|
2009ig        |i'|55088.34745| 2| 0.0200| 0.0134|14.5428| 0.0241|
2009ig        |i'|55089.46705| 3| 0.0180| 0.0010|14.5880| 0.0180|
2009ig        |i'|55092.42911| 5| 0.0170| 0.0140|14.8706| 0.0220|
2009ig        |i'|55094.34605| 5| 0.0170| 0.0066|14.9831| 0.0182|
2009ig        |i'|55098.32264| 5| 0.0160| 0.0116|15.0339| 0.0197|
2009ig        |i'|55101.29833| 5| 0.0190| 0.0145|14.9708| 0.0239|
2009ig        |i'|55102.26981| 5| 0.0160| 0.0108|14.9353| 0.0193|
2009ig        |i'|55103.35016| 8| 0.0205| 0.0315|14.9062| 0.0376|
2009ig        |i'|55104.37917| 5| 0.0170| 0.0231|14.8803| 0.0287|
2009ig        |i'|55106.26589|10| 0.0165| 0.0141|14.8208| 0.0217|
2009ig        |i'|55115.47710|10| 0.0160| 0.0104|14.9162| 0.0191|
2009ig        |i'|55119.36572|10| 0.0170| 0.0158|15.2069| 0.0232|
2009ig        |i'|55122.39204| 5| 0.0170| 0.0139|15.3907| 0.0220|
2009ig        |i'|55123.34737| 5| 0.0170| 0.0180|15.4370| 0.0247|
2009ig        |i'|55125.39927| 3| 0.0460| 0.0035|15.6354| 0.0461|
2009ig        |i'|55127.28606|10| 0.0170| 0.0111|15.6337| 0.0203|
2009ig        |i'|55150.27370| 4| 0.0185| 0.0145|16.5238| 0.0235|
2009ig        |i'|55151.31684| 5| 0.0370| 0.0154|16.6518| 0.0401|
2009ig        |i'|55153.26413| 5| 0.0210| 0.0219|16.6632| 0.0304|
2009ig        |i'|55158.28250| 5| 0.0200| 0.0151|16.8346| 0.0251|
2009ig        |i'|55176.26460| 5| 0.0250| 0.0200|17.4093| 0.0320|
2009ig        |i'|55208.15221| 5| 0.0410| 0.0573|18.3369| 0.0705|
2009ig        |i'|55242.09910| 4| 0.1215| 0.1413|19.2267| 0.1864|
2009jr        |B |55117.08383| 4| 0.0200| 0.0138|16.8990| 0.0243|
2009jr        |B |55119.11609| 8| 0.0190| 0.0172|16.8450| 0.0257|
2009jr        |B |55120.10262| 4| 0.0190| 0.0295|16.8777| 0.0351|
2009jr        |B |55122.10191| 8| 0.0200| 0.0256|16.8892| 0.0325|
2009jr        |B |55126.08925| 4| 0.0215| 0.0244|17.0376| 0.0325|
2009jr        |B |55127.08957| 8| 0.0210| 0.0271|17.0750| 0.0343|
2009jr        |B |55128.11779| 4| 0.0225| 0.0273|17.1531| 0.0353|
2009jr        |B |55131.07631| 4| 0.0400| 0.0295|17.3789| 0.0497|
2009jr        |B |55136.08102| 7| 0.0480| 0.0977|17.9098| 0.1088|
2009jr        |B |55141.09606| 4| 0.0425| 0.0584|18.4113| 0.0722|
2009jr        |B |55143.09353| 4| 0.0450| 0.0861|18.3714| 0.0972|
2009jr        |B |55145.06914| 3| 0.0510| 0.0346|18.4912| 0.0617|
2009jr        |B |55151.10478| 3| 0.0990| 0.0805|19.2931| 0.1276|
2009jr        |B |55153.07236| 4| 0.0940| 0.1312|19.3440| 0.1614|
2009jr        |B |55158.08223| 8| 0.1815| 0.1216|19.6025| 0.2185|
2009jr        |B |55159.07711| 4| 0.1895| 0.0903|19.5539| 0.2099|
2009jr        |V |55117.08082| 4| 0.0165| 0.0099|16.2842| 0.0192|
2009jr        |V |55119.11309| 8| 0.0170| 0.0200|16.2691| 0.0263|
2009jr        |V |55120.09959| 4| 0.0165| 0.0224|16.2463| 0.0278|
2009jr        |V |55122.09890| 8| 0.0165| 0.0182|16.2481| 0.0246|
2009jr        |V |55126.08624| 4| 0.0170| 0.0033|16.3444| 0.0173|
2009jr        |V |55127.08657| 8| 0.0180| 0.0227|16.3824| 0.0290|
2009jr        |V |55128.11409| 4| 0.0175| 0.0131|16.4594| 0.0219|
2009jr        |V |55131.07259| 1| 0.0280| 0.0130|16.5037| 0.0309|
2009jr        |V |55136.08269| 5| 0.0290| 0.0156|16.9630| 0.0329|
2009jr        |V |55141.09235| 3| 0.0210| 0.0163|17.1261| 0.0266|
2009jr        |V |55143.08983| 4| 0.0215| 0.0252|17.1962| 0.0331|
2009jr        |V |55145.06544| 3| 0.0250| 0.0202|17.2594| 0.0322|
2009jr        |V |55151.10108| 4| 0.0570| 0.0517|17.7240| 0.0770|
2009jr        |V |55153.06866| 4| 0.0320| 0.0192|17.6987| 0.0373|
2009jr        |V |55158.07486| 8| 0.0605| 0.0552|18.0146| 0.0819|
2009jr        |V |55159.06789| 8| 0.0545| 0.0621|18.0490| 0.0826|
2009jr        |r'|55117.07781| 4| 0.0150| 0.0151|16.1473| 0.0213|
2009jr        |r'|55119.11007| 8| 0.0150| 0.0139|16.0943| 0.0204|
2009jr        |r'|55120.09657| 4| 0.0150| 0.0072|16.0890| 0.0166|
2009jr        |r'|55122.09589| 8| 0.0150| 0.0122|16.0781| 0.0193|
2009jr        |r'|55126.08323| 4| 0.0160| 0.0138|16.1875| 0.0211|
2009jr        |r'|55127.08359| 8| 0.0160| 0.0081|16.2226| 0.0179|
2009jr        |r'|55128.11108| 4| 0.0160| 0.0059|16.2767| 0.0170|
2009jr        |r'|55136.07534| 8| 0.0205| 0.0269|16.8602| 0.0338|
2009jr        |r'|55141.08935| 2| 0.0180| 0.0064|16.8879| 0.0191|
2009jr        |r'|55143.08683| 4| 0.0185| 0.0323|16.8927| 0.0372|
2009jr        |r'|55145.06244| 4| 0.0225| 0.0103|16.9233| 0.0247|
2009jr        |r'|55151.09807| 4| 0.0205| 0.0382|17.1098| 0.0433|
2009jr        |r'|55153.06566| 4| 0.0210| 0.0809|17.2126| 0.0836|
2009jr        |r'|55158.07001| 3| 0.0260| 0.1778|17.4861| 0.1797|
2009jr        |r'|55159.06306| 4| 0.0325| 0.1220|17.4304| 0.1263|
2009jr        |i'|55117.07480| 4| 0.0180| 0.0219|16.4068| 0.0284|
2009jr        |i'|55119.10851| 7| 0.0180| 0.0245|16.4200| 0.0304|
2009jr        |i'|55120.09357| 4| 0.0185| 0.0217|16.4168| 0.0285|
2009jr        |i'|55122.09409| 7| 0.0180| 0.0244|16.5294| 0.0304|
2009jr        |i'|55126.08023| 4| 0.0205| 0.0219|16.6325| 0.0300|
2009jr        |i'|55127.08058| 8| 0.0210| 0.0374|16.7247| 0.0429|
2009jr        |i'|55128.10807| 3| 0.0200| 0.0364|16.8202| 0.0415|
2009jr        |i'|55131.06659| 1| 0.0560| 0.0183|16.9197| 0.0589|
2009jr        |i'|55136.07233| 6| 0.0320| 0.0794|17.4332| 0.0856|
2009jr        |i'|55141.08635| 4| 0.0245| 0.0636|17.2941| 0.0682|
2009jr        |i'|55143.08382| 4| 0.0285| 0.0671|17.2377| 0.0729|
2009jr        |i'|55145.05943| 2| 0.0285| 0.0057|17.2437| 0.0291|
2009jr        |i'|55151.09507| 4| 0.0225| 0.0507|17.0130| 0.0554|
2009jr        |i'|55153.06265| 4| 0.0240| 0.0650|17.0586| 0.0693|
2009jr        |i'|55158.06700| 4| 0.0410| 0.1751|17.4349| 0.1798|
2009jr        |i'|55159.06005| 3| 0.0380| 0.1254|17.6036| 0.1310|
2009kk        |B |55127.40090| 2| 0.0145| 0.0028|15.2448| 0.0148|
2009kk        |B |55130.42671| 2| 0.0145| 0.0021|15.3344| 0.0147|
2009kk        |B |55133.29508| 6| 0.0175| 0.0166|15.5726| 0.0241|
2009kk        |B |55134.46923| 2| 0.0150| 0.0035|15.6530| 0.0154|
2009kk        |B |55135.46210| 1| 0.0190| 0.0120|15.7727| 0.0225|
2009kk        |B |55150.33741| 2| 0.0235| 0.0085|17.5672| 0.0250|
2009kk        |B |55151.43093| 2| 0.0345| 0.0269|17.6954| 0.0437|
2009kk        |B |55153.32561| 2| 0.0275| 0.0318|17.8879| 0.0421|
2009kk        |B |55155.23392| 2| 0.0270| 0.0283|17.9225| 0.0391|
2009kk        |B |55158.35706| 2| 0.0330| 0.0354|18.1859| 0.0484|
2009kk        |B |55160.18512| 3| 0.0450| 0.0406|18.1553| 0.0606|
2009kk        |B |55176.30561| 4| 0.0480| 0.0981|18.6843| 0.1092|
2009kk        |B |55181.33509| 2| 0.0680| 0.0629|18.7619| 0.0927|
2009kk        |B |55182.11574| 6| 0.0605| 0.0872|18.8115| 0.1062|
2009kk        |B |55185.24258| 4| 0.0445| 0.0853|18.8257| 0.0962|
2009kk        |B |55208.19749| 2| 0.0700| 0.1103|19.1875| 0.1306|
2009kk        |B |55242.14198| 2| 0.1190| 0.2326|19.7664| 0.2613|
2009kk        |B |55244.15912| 2| 0.1325| 0.1549|19.8510| 0.2038|
2009kk        |V |55127.39790| 4| 0.0140| 0.0032|15.1309| 0.0144|
2009kk        |V |55130.42371| 4| 0.0150| 0.0024|15.1518| 0.0152|
2009kk        |V |55133.29208| 8| 0.0155| 0.0148|15.2669| 0.0214|
2009kk        |V |55134.46622| 4| 0.0145| 0.0008|15.3090| 0.0145|
2009kk        |V |55135.45909| 3| 0.0160| 0.0012|15.3881| 0.0160|
2009kk        |V |55144.31613| 4| 0.0175| 0.0067|15.9515| 0.0187|
2009kk        |V |55150.33372| 4| 0.0165| 0.0047|16.3164| 0.0171|
2009kk        |V |55151.42721| 4| 0.0335| 0.0050|16.4521| 0.0339|
2009kk        |V |55153.32191| 3| 0.0180| 0.0145|16.5386| 0.0231|
2009kk        |V |55155.23022| 4| 0.0165| 0.0030|16.6781| 0.0168|
2009kk        |V |55158.35336| 4| 0.0185| 0.0134|16.9477| 0.0228|
2009kk        |V |55160.18142| 3| 0.0200| 0.0150|17.0196| 0.0250|
2009kk        |V |55176.30006| 4| 0.0265| 0.0111|17.6694| 0.0287|
2009kk        |V |55181.33139| 4| 0.0330| 0.0206|17.6853| 0.0389|
2009kk        |V |55182.11021| 4| 0.0325| 0.0142|17.7903| 0.0355|
2009kk        |V |55185.23705| 4| 0.0280| 0.0160|17.8559| 0.0323|
2009kk        |V |55208.19379| 4| 0.0445| 0.0213|18.5246| 0.0493|
2009kk        |V |55242.13829| 4| 0.0930| 0.0442|19.3027| 0.1030|
2009kk        |V |55244.15542| 4| 0.1200| 0.1169|19.4876| 0.1675|
2009kk        |r'|55127.39560| 4| 0.0145| 0.0179|15.1498| 0.0230|
2009kk        |r'|55130.42140| 4| 0.0155| 0.0124|15.1532| 0.0199|
2009kk        |r'|55133.28976| 8| 0.0180| 0.0203|15.3356| 0.0271|
2009kk        |r'|55134.46390| 4| 0.0155| 0.0254|15.4118| 0.0297|
2009kk        |r'|55135.45677| 4| 0.0160| 0.0013|15.4996| 0.0161|
2009kk        |r'|55144.31313| 4| 0.0180| 0.0053|15.8965| 0.0188|
2009kk        |r'|55150.33071| 4| 0.0155| 0.0080|16.0534| 0.0175|
2009kk        |r'|55151.42420| 4| 0.0340| 0.0034|16.1613| 0.0342|
2009kk        |r'|55153.31890| 4| 0.0190| 0.0042|16.2181| 0.0195|
2009kk        |r'|55155.22720| 4| 0.0150| 0.0032|16.3678| 0.0153|
2009kk        |r'|55158.35035| 4| 0.0170| 0.0075|16.6506| 0.0186|
2009kk        |r'|55160.17841| 3| 0.0190| 0.0214|16.7819| 0.0286|
2009kk        |r'|55176.29705| 4| 0.0225| 0.0085|17.4799| 0.0241|
2009kk        |r'|55181.32839| 4| 0.0250| 0.0161|17.6463| 0.0297|
2009kk        |r'|55182.10720| 4| 0.0240| 0.0158|17.6661| 0.0287|
2009kk        |r'|55185.23404| 4| 0.0265| 0.0093|17.7843| 0.0281|
2009kk        |r'|55208.19076| 4| 0.0430| 0.0308|18.5514| 0.0529|
2009kk        |r'|55242.13528| 4| 0.0875| 0.0464|19.5506| 0.0990|
2009kk        |r'|55244.15173| 4| 0.1200| 0.0518|19.7613| 0.1307|
2009kk        |i'|55127.39330| 4| 0.0165| 0.0043|15.6866| 0.0171|
2009kk        |i'|55130.41909| 4| 0.0170| 0.0039|15.7851| 0.0174|
2009kk        |i'|55133.28745| 8| 0.0175| 0.0096|16.0013| 0.0199|
2009kk        |i'|55134.46160| 4| 0.0180| 0.0041|16.1274| 0.0185|
2009kk        |i'|55135.45447| 4| 0.0215| 0.0379|16.2958| 0.0436|
2009kk        |i'|55144.31013| 4| 0.0210| 0.0096|16.3920| 0.0231|
2009kk        |i'|55150.32770| 4| 0.0170| 0.0120|16.2739| 0.0208|
2009kk        |i'|55151.42119| 4| 0.0190| 0.0070|16.2919| 0.0202|
2009kk        |i'|55153.31590| 4| 0.0215| 0.0046|16.3467| 0.0220|
2009kk        |i'|55155.22420| 4| 0.0180| 0.0194|16.4661| 0.0265|
2009kk        |i'|55158.34734| 4| 0.0195| 0.0125|16.7411| 0.0231|
2009kk        |i'|55160.17541| 3| 0.0230| 0.0286|16.8868| 0.0367|
2009kk        |i'|55176.29404| 4| 0.0290| 0.0192|17.7256| 0.0348|
2009kk        |i'|55181.32537| 4| 0.0470| 0.0315|17.8667| 0.0566|
2009kk        |i'|55182.10419| 4| 0.0370| 0.0157|17.9997| 0.0402|
2009kk        |i'|55185.23104| 4| 0.0405| 0.0458|18.1338| 0.0612|
2009kk        |i'|55208.18777| 4| 0.0660| 0.0623|18.9992| 0.0908|
2009kk        |i'|55242.13227| 4| 0.1805| 0.1089|20.1255| 0.2108|
2009kk        |i'|55244.14786| 4| 0.2990| 0.1856|20.6512| 0.3519|
2009kq        |u'|55150.52167| 3| 0.0190| 0.0078|15.4136| 0.0205|
2009kq        |u'|55151.52290| 4| 0.0200| 0.0039|15.3037| 0.0204|
2009kq        |u'|55153.51789| 4| 0.0200| 0.0081|15.2852| 0.0216|
2009kq        |u'|55155.51131| 4| 0.0200| 0.0082|15.3567| 0.0216|
2009kq        |u'|55157.45454| 4| 0.0200| 0.0089|15.5633| 0.0219|
2009kq        |u'|55158.49243| 3| 0.0210| 0.0066|15.6420| 0.0220|
2009kq        |u'|55160.33729| 3| 0.0220| 0.0166|15.8337| 0.0276|
2009kq        |u'|55176.45419| 4| 0.0485| 0.0337|17.7728| 0.0590|
2009kq        |u'|55177.51962| 3| 0.0680| 0.0609|18.0900| 0.0913|
2009kq        |u'|55181.42804| 2| 0.0705| 0.0078|18.3715| 0.0709|
2009kq        |u'|55185.48475| 4| 0.0745| 0.0864|18.6660| 0.1141|
2009kq        |u'|55208.32351| 2| 0.1170| 0.1824|19.2655| 0.2167|
2009kq        |u'|55242.21365| 4| 0.2180| 0.1372|19.7125| 0.2576|
2009kq        |u'|55267.20749| 3| 0.3080| 0.1054|20.2197| 0.3255|
2009kq        |B |55150.51862| 4| 0.0145| 0.0051|14.7914| 0.0154|
2009kq        |B |55151.52664| 3| 0.0140| 0.0076|14.7388| 0.0159|
2009kq        |B |55153.51485| 5| 0.0140| 0.0151|14.6631| 0.0206|
2009kq        |B |55155.50829| 5| 0.0150| 0.0081|14.6581| 0.0171|
2009kq        |B |55157.45150| 4| 0.0150| 0.0070|14.7371| 0.0166|
2009kq        |B |55158.48940| 4| 0.0150| 0.0068|14.7751| 0.0165|
2009kq        |B |55160.33426| 4| 0.0150| 0.0056|14.8634| 0.0160|
2009kq        |B |55176.45047| 5| 0.0170| 0.0076|16.5296| 0.0186|
2009kq        |B |55177.51590| 5| 0.0180| 0.0077|16.5905| 0.0196|
2009kq        |B |55181.42429| 5| 0.0180| 0.0105|16.9693| 0.0208|
2009kq        |B |55185.47898| 9| 0.0210| 0.0257|17.3200| 0.0332|
2009kq        |B |55205.31056|22| 0.0440| 0.1261|18.1007| 0.1336|
2009kq        |B |55208.31775| 9| 0.0300| 0.0222|18.0025| 0.0373|
2009kq        |B |55212.27855|10| 0.0445| 0.0661|18.0795| 0.0796|
2009kq        |B |55232.35521| 4| 0.0435| 0.0137|18.2280| 0.0456|
2009kq        |B |55242.20992| 5| 0.0490| 0.0524|18.2867| 0.0718|
2009kq        |B |55244.20103| 5| 0.0530| 0.0830|18.4289| 0.0985|
2009kq        |B |55247.22821|15| 0.0490| 0.0648|18.5036| 0.0812|
2009kq        |B |55267.20376| 4| 0.0670| 0.0621|18.7817| 0.0913|
2009kq        |V |55150.51560| 5| 0.0150| 0.0021|14.8022| 0.0151|
2009kq        |V |55151.53200| 3| 0.0140| 0.0031|14.7308| 0.0143|
2009kq        |V |55153.51184| 5| 0.0140| 0.0031|14.6528| 0.0143|
2009kq        |V |55155.51740| 5| 0.0160| 0.0033|14.6088| 0.0163|
2009kq        |V |55157.46066| 5| 0.0140| 0.0021|14.6203| 0.0142|
2009kq        |V |55158.49855| 5| 0.0140| 0.0023|14.6388| 0.0142|
2009kq        |V |55160.34340| 4| 0.0150| 0.0033|14.6859| 0.0154|
2009kq        |V |55171.52068| 3| 0.0210| 0.0191|15.3031| 0.0284|
2009kq        |V |55176.46098| 5| 0.0140| 0.0021|15.5369| 0.0142|
2009kq        |V |55177.52641| 5| 0.0140| 0.0057|15.5989| 0.0151|
2009kq        |V |55181.43486| 5| 0.0150| 0.0073|15.7957| 0.0167|
2009kq        |V |55185.49155| 5| 0.0160| 0.0060|16.0627| 0.0171|
2009kq        |V |55205.31101|10| 0.0200| 0.0178|16.9032| 0.0268|
2009kq        |V |55208.33032| 5| 0.0200| 0.0091|16.9915| 0.0220|
2009kq        |V |55212.28409| 5| 0.0260| 0.0358|17.1985| 0.0442|
2009kq        |V |55232.36265| 5| 0.0320| 0.0168|17.5891| 0.0361|
2009kq        |V |55242.22115| 5| 0.0400| 0.0403|17.9225| 0.0568|
2009kq        |V |55244.21397|10| 0.0385| 0.0393|17.9754| 0.0550|
2009kq        |V |55247.24578| 5| 0.0340| 0.0193|18.0627| 0.0391|
2009kq        |V |55267.21867| 5| 0.0490| 0.0454|18.5332| 0.0668|
2009kq        |V |55332.16316| 5| 0.1470| 0.1143|19.8749| 0.1862|
2009kq        |r'|55150.51329| 5| 0.0140| 0.0016|14.8393| 0.0141|
2009kq        |r'|55151.52969| 3| 0.0140| 0.0026|14.7756| 0.0142|
2009kq        |r'|55153.50954| 5| 0.0140| 0.0021|14.7112| 0.0142|
2009kq        |r'|55155.51509| 5| 0.0140| 0.0012|14.6712| 0.0141|
2009kq        |r'|55157.45834| 5| 0.0140| 0.0027|14.6729| 0.0143|
2009kq        |r'|55158.49624| 5| 0.0140| 0.0036|14.6885| 0.0144|
2009kq        |r'|55160.34109| 5| 0.0140| 0.0011|14.7472| 0.0140|
2009kq        |r'|55176.45799| 5| 0.0150| 0.0036|15.4512| 0.0154|
2009kq        |r'|55177.52341| 5| 0.0140| 0.0015|15.4586| 0.0141|
2009kq        |r'|55181.43185| 5| 0.0140| 0.0028|15.5473| 0.0143|
2009kq        |r'|55185.48855| 5| 0.0150| 0.0040|15.7559| 0.0155|
2009kq        |r'|55205.30766|10| 0.0185| 0.0127|16.7385| 0.0224|
2009kq        |r'|55208.32732| 5| 0.0180| 0.0126|16.8551| 0.0220|
2009kq        |r'|55212.27050| 9| 0.0190| 0.0129|16.9803| 0.0229|
2009kq        |r'|55232.35895| 5| 0.0270| 0.0051|17.5502| 0.0275|
2009kq        |r'|55242.21744| 5| 0.0320| 0.0305|18.0053| 0.0442|
2009kq        |r'|55244.20660|10| 0.0335| 0.0315|18.0651| 0.0460|
2009kq        |r'|55247.23920|10| 0.0280| 0.0281|18.1270| 0.0397|
2009kq        |r'|55267.21313|10| 0.0525| 0.0378|18.6944| 0.0647|
2009kq        |r'|55270.22331|10| 0.0425| 0.0572|18.7319| 0.0713|
2009kq        |r'|55332.15947| 3| 0.1630| 0.1444|20.2120| 0.2178|
2009kq        |i'|55150.51097| 5| 0.0150| 0.0059|15.2173| 0.0161|
2009kq        |i'|55151.53505| 5| 0.0160| 0.0059|15.2221| 0.0170|
2009kq        |i'|55153.50723| 5| 0.0160| 0.0039|15.2495| 0.0165|
2009kq        |i'|55155.50589| 5| 0.0150| 0.0020|15.2945| 0.0151|
2009kq        |i'|55157.44912| 5| 0.0150| 0.0048|15.3615| 0.0157|
2009kq        |i'|55158.48701| 5| 0.0160| 0.0061|15.3879| 0.0171|
2009kq        |i'|55160.33188| 5| 0.0160| 0.0121|15.4701| 0.0200|
2009kq        |i'|55176.44738| 5| 0.0160| 0.0092|15.9187| 0.0185|
2009kq        |i'|55177.51282| 5| 0.0160| 0.0089|15.8890| 0.0183|
2009kq        |i'|55181.42123| 5| 0.0150| 0.0032|15.8240| 0.0153|
2009kq        |i'|55185.47427| 5| 0.0170| 0.0067|15.8928| 0.0183|
2009kq        |i'|55189.22082| 5| 0.0170| 0.0044|16.1616| 0.0176|
2009kq        |i'|55205.30432|11| 0.0270| 0.0183|17.0467| 0.0326|
2009kq        |i'|55208.31306| 5| 0.0220| 0.0119|17.1673| 0.0250|
2009kq        |i'|55212.26293|10| 0.0260| 0.0166|17.3132| 0.0308|
2009kq        |i'|55232.35143| 5| 0.0440| 0.0280|18.1253| 0.0521|
2009kq        |i'|55242.20613| 5| 0.0680| 0.0544|18.5251| 0.0871|
2009kq        |i'|55244.19726| 5| 0.0520| 0.0265|18.4725| 0.0584|
2009kq        |i'|55247.21720|10| 0.0485| 0.0484|18.6116| 0.0685|
2009kq        |i'|55267.19816|10| 0.0830| 0.0647|19.1514| 0.1053|
2009kq        |i'|55270.21573| 9| 0.0930| 0.0737|19.3729| 0.1187|
2009le        |u'|55153.25948| 1| 0.0930| 0.1167|18.2961| 0.1492|
2009le        |u'|55155.15363| 1| 0.0660| 0.0643|17.2181| 0.0922|
2009le        |u'|55157.18574| 1| 0.0370| 0.0332|16.4144| 0.0497|
2009le        |u'|55158.25923| 1| 0.0290| 0.0268|16.2286| 0.0395|
2009le        |u'|55176.21780| 2| 0.0595| 0.0354|17.1511| 0.0692|
2009le        |u'|55182.13822| 1| 0.0810| 0.0925|17.9081| 0.1230|
2009le        |B |55153.25645| 1| 0.0270| 0.0283|17.2079| 0.0391|
2009le        |B |55155.15060| 1| 0.0210| 0.0156|16.4688| 0.0261|
2009le        |B |55157.18270| 1| 0.0170| 0.0120|15.9952| 0.0208|
